final_proposed_protoform	ROMANIAN	FRENCH	ITALIAN	SPANISH	PORTUGUESE	LATIN-CORRECT
stimabile	-	-	stimabile	-	-	aɪstɪmabɪlɛm
ʃtsmɐsɐʊ	-	-	-	-	ʃtimɐsɐ̃ʊ̃	aɪstɪmatɪonɛm
ʃʤmɐʤvɐ	-	-	-	-	ʃtimɐtivɐ	aɪstɪmatɪwatɛm
estsval	-	ɛstival	estivo	estio	ɨʃtiʊ	aɪstiwʊm
eta	etate	aʒ	eta	eðad	idadɨ	aɪtatɛm
edere	-	etɛʁ	etere	-	ɛtɨɹ	aɪtʰɛrɛm
edereo	-	eteʁe	etɛreo	-	etɛɾiʊ	aɪtʰɛrɪʊm
ɛv	ev	-	ɛvo	eβo	ɛvʊ	aɪwʊm
afeɣzjo	-	afɛksjɔ̃	affetsione	afekθjon	ɐfeɪsɐ̃ʊ̃	affɛktɪonɛm
affetto	-	-	affɛtto	afekto	ɐfɛtʊ	affɛktʊm
afjanθaɾ	-	-	-	afjanθaɾ	ɐfiɐ̃ŋsaɹ	affɪdɛntɪarɛ
afiɾmaθjon	-	afiʁmasjɔ̃	affermatsione	afiɾmaθjon	ɐfiɾəmɐsɐ̃ʊ̃	affɪrmatɪonɛm
affermare	-	afiʁme	affermare	afiɾmaɾ	ɐfiɾəmaɹ	affɪrmarɛ
afʎitsione	-	afliksjɔ̃	afflitsione	aflikθjon	ɐflisɐ̃ʊ̃	afflɪktɪonɛm
aʎiʒe	-	afliʒe	afflidʒʒere	aflixiɾ	ɐfliʒiɹ	affliɡɛrɛ
aʎa	afla	-	-	aʎaɾ	ɐʃaɹ	afflarɛ
ɐʎweɪŋzjɐ	-	-	-	afluɛnθja	ɐflweɪŋsjɐ	afflʊɛntɪam
aʎuj	afluj	aflye	affluire	afluiɾ	ɐfluiɹ	afflʊɛrɛ
afɾiko	-	-	-	afɾiko	-	afrɪkʊm
aɣabe	-	-	-	aɣape	aɡɐpɨ	aɡapen
aɡarik	-	aɡaʁik	aɡariko	-	ɐɡaɾikʊ	aɡarɪkʊm
aɣɾo	aɡru	ɛʁ	aɡro	aɣɾo	aɡɹʊ	aɡrʊm
ardʒine	-	-	ardʒine	aɾθe	-	aɡɡɛrɛm
aɡɡlomerare	-	-	aɡɡlomerare	aɣlomeɾaɾ	ɐɡlumɨɾaɹ	aɡɡlɔmɛrarɛ
aɡlyʤne	-	aɡlytine	aɡɡlutinare	-	-	aɡɡlutɪnarɛ
aɡɡravare	-	aɡʁave	aɡɡravare	aɣɾaβaɾ	ɐɡɹɐvaɹ	aɡɡrawarɛ
ɐɡɹɨʤɹ	-	aɡʁɛse	aɡɡredire	aɣɾeðiɾ	ɐɡɹɨdiɹ	aɡɡrɛdi
aɣɾeɣaθjon	-	aɡʁeɡasjɔ̃	-	aɣɾeɣaθjon	ɐɡɹɨɡɐsɐ̃ʊ̃	aɡɡrɛɡatɪonɛm
aɡɡreɡare	-	aɡʁeʒe	aɡɡreɡare	aɣɾeɣaɾ	ɐɡɹɨɡaɹ	aɡɡrɛɡarɛ
adʒilida	-	aʒilite	adʒilita	axiliðad	ɐʒilidadɨ	aɡɪlɪtatɛm
aina	-	-	-	aina	-	aɡinam
axitaðoɾ	-	-	-	axitaðoɾ	ɐʒitɐdoɹ	aɡɪtatorɛm
aʒide	adʒitaɾe	aʒite	adʒitare	axitaɾ	ɐʒitaɹ	aɡɪtarɛ
aɡnaθjon	-	-	-	aɡnaθjon	-	aŋnatɪonɛm
ɐɡnatʊ	-	aɲa	aɲato	aɡnaðo	ɐɡnatʊ	aŋnatʊm
aɲɛl	mjalə	aɲɛl	aɲɛlla	-	-	aŋnɛllam
aɲɛ	mjel	aɲo	aɲɛllo	-	-	aŋnɛllʊm
aɲino	-	-	-	aɲino	-	aŋninʊm
ɐɡnizɐʊ	-	-	-	-	ɐɡnisɐ̃ʊ̃	aŋnɪtɪonɛm
aɡnomento	-	-	-	aɡnomɛnto	-	aŋnomɛntʊm
ɐɲʊ	-	-	-	-	ɐ̃ɲʊ	aŋnʊm
adʒire	-	aʒiʁ	adʒire	axiɾ	ɐʒiɹ	aɡɛrɛ
ɐɡuɾɐβɐβiɐmeɪŋðu	-	-	-	-	ɐɡuɾɐpɐpiɐmeɪŋtu	aɡɔram
aɡʁɛʁ	-	aɡʁɛʁ	-	aɣɾaɾjo	-	aɡrarɪʊm
ɐɡɹɛlɐ	-	-	-	-	ɐɡɹɛlɐ	aɡrɛllʊm
aɡreste	-	aɡʁɛst	aɡrɛste	aɣɾeste	ɐɡɹɛʃtɨ	aɡrɛstɛm
aɡrimensor	aɡrimensor	-	aɡrimensore	aɣɾimensoɾ	ɐɡɹimeɪŋsoɹ	aɡrimensorɛm
alabastru	alabastru	albatʁ	alabastro	alaβastɾo	ɐlɐbaʃtɹʊ	alabastrʊm
aleɣɾe	-	alɛɡʁ	alleɡro	aleɣɾe	ɐlɛɡɹɨ	alakrɛm
alaɣɾiðað	-	alakʁite	alakrita	alakɾiðad	ɐlɐkɹidadɨ	alakrɪtatɛm
labatssa	aɾipə	ob	lapatssa	-	abɐ	alapam
alaðo	-	-	-	alaðo	-	alatʊm
aʎodola	-	alwɛt	allɔdola	alondɾa	-	alaʊdam
alɔz	-	alɔz	aloza	-	-	alaʊsam
ɑlveɪɾʊ	-	-	-	alβeɾo	ɑlveɪɾʊ	albarɪʊm
alb	albʲ	-	-	-	-	albeskɛrɛ
alβuxine	-	-	-	alβuxine	-	albuɡɪnɛm
alβina	-	-	albume	alβumina	-	albumɛn
ɑlbuɾənʊ	-	-	-	-	ɑlbuɾənʊ	albʊrnʊm
alθeðon	-	-	-	alθeðon	-	alkedɪnɛm
alðʃe	-	-	altʃe	alθe	ɑlsɨ	alkɛm
alθjo	altʃon	alsjɔ̃	-	alθjon	-	alkyɔnɛm
alea	-	-	alea	alea	-	alɛam
alɡore	-	-	alɡore	-	ɑlɡoɹ	alɡorɛm
aljenaθjo	-	aljenasjɔ̃	alienatsione	aljenaθjon	ɐlienɐsɐ̃ʊ̃	alɪenatɪonɛm
aljenixeno	-	-	-	aljenixeno	-	alɪenɪɡɛnʊm
alienare	-	aljene	alienare	enaxenaɾ	ɐʎiaɹ	alɪenarɛ
ɐʎeɪʊ	-	-	aliɛno	axeno	ɐʎeɪʊ	alɪenʊm
ɑlɡeɪŋ	-	-	-	alɣjen	ɑlɡeɪŋ	alɪkwɛm
aʎaɣrimare	-	-	allakrimare	-	-	allakrɪmarɛ
alətra	alətra	-	-	-	-	allatrarɛ
alidʃe	-	-	alitʃe	-	-	allek
ajeta	ajepta	aleʃe	allettare	-	-	allɛktarɛ
aleɡazjo	aleɡatsje	aleɡasjɔ̃	alleɡatsione	aleɣaθjon	ɐlɨɡɐsɐ̃ʊ̃	alleɡatɪonɛm
aleɡa	aleɡa	aleɡe	alleɡare	aleɣaɾ	ɐlɨɡaɹ	allɛɡɛrɛ
aʎeɡoriðzzare	-	-	alleɡoridzzare	-	-	alleɡɔrizzarɛ
ɐliviaɹ	-	-	allevjare	aliβjaɾ	ɐliviaɹ	allɛwɪarɛ
aʎevare	-	-	allevare	-	-	allɛwarɛ
aʎoɣare	-	alwe	allokare	alokaɾ	ɐlukaɹ	allɔkarɛ
aʎoɣutsione	-	alokysjɔ̃	allokutsione	alokuθjon	ɐlukusɐ̃ʊ̃	allɔkutɪonɛm
aʎudere	-	-	alludere	aluðiɾ	ɐludiɹ	alludɛrɛ
almo	-	-	-	almo	-	almʊm
anin	anin	-	alno	alno	-	alnʊm
ɐlimeɪŋtaɹ	-	-	-	-	ɐlimeɪŋtaɹ	alɛrɛ
alfaβeto	-	-	-	alfaβeto	-	alpʰabetʊm
altare	-	otɛl	altare	altaɾ	ɑltaɹ	altarɛm
alterkatsione	-	altɛʁkasjɔ̃	alterkatsione	alteɾkaθjon	ɑltɨɾəkɐsɐ̃ʊ̃	altɛrkatɪonɛm
alderkare	-	altɛʁke	alterkare	alteɾkaɾ	ɑltɨɾəkaɹ	altɛrkari
alternatsione	-	-	alternatsione	alteɾnaθjon	-	altɛrnatɪonɛm
alteɾnaɾ	-	-	-	alteɾnaɾ	-	altɛrnarɛ
alteɾno	-	-	-	alteɾno	-	altɛrnʊm
aldea	-	-	altɛa	altea	ɑlteɪɐ	altʰaɪam
altizimo	-	-	altissimo	altisimo	-	altɪssɪmʊm
altituʤne	altitudʲine	altityd	altitudine	altitud	ɑltitudɨ	altɪtudɪnɛm
alysine	-	alysine	-	aluθinaɾ	-	alukɪnari
alœ	-	alœ̃	-	-	-	alʊm
ɐlunʊ	-	-	alunno	alumno	ɐlunʊ	alʊmnʊm
alβeaɾjo	-	-	-	alβeaɾjo	-	alwɛarɪʊm
alveo	albje	oʒ	alveo	alβeo	aʊviʊ	alwɛʊm
alvo	-	-	alvo	-	-	alwʊm
amaβiliðad	-	-	-	amaβiliðad	-	amabɪlɪtatɛm
amalɡama	amalɡam	-	amalɡama	amalɣama	ɐmaʊɡɐmɐ	amalɡama
amant	amant	amɑ̃	amante	amante	ɐmɐ̃ŋtɨ	amantɛm
amanuense	-	-	amanuɛnse	amanwɛnse	ɐmɐnueɪŋsɨ	amanʊensɛm
aməɾɨ	aməɾɨ	ameʁize	amaredʒʒare	amaɾɣaɾ	ɐmɐɾəɡaɹ	amarɪkarɛ
amaretssa	aməɾeatsə	-	amaretssa	-	-	amarɪtɪɛm
ameʁðym	-	amɛʁtym	amaritudine	-	-	amarɪtudɪnɛm
amarulento	-	-	amarulɛnto	-	-	amarʊlɛntʊm
amazio	-	-	amazio	-	-	amasɪʊm
amaðoɾ	amator	-	amatore	amaðoɾ	ɐmɐdoɹ	amatorɛm
ɐmɐðoɾjʊ	-	-	amatɔrio	amatoɾjo	ɐmɐtɔɾjʊ	amatorɪʊm
ɐmbaʒɨʃ	-	ɑ̃baʒ	-	ambaxes	ɐ̃mbaʒɨʃ	ambaɡɛm
ambiɡwita	-	ɑ̃biɡyite	ambiɡwita	ambiɣueðad	ɐ̃mbiɡwidadɨ	ambɪɡwɪtatɛm
ambito	-	-	ambito	ambito	ɐ̃mbitʊ	ambitʊm
ambos	ambij	-	ambo	ambos	ɐ̃mbʊʃ	ambos
ambrɔzia	-	ɑ̃bʁwazi	ambrɔzia	-	-	ambrɔsɪam
bla	umbla	ale	andare	andaɾ	ɐ̃ŋdaɹ	ambʊlarɛ
amende	-	-	amente	amɛnte	-	amɛntɛm
amentsa	-	-	amɛntsa	-	-	amɛntɪam
ɐmeɪŋtaɹ	-	-	-	-	ɐmeɪŋtaɹ	amɛntarɛ
amento	-	-	amento	amɛnto	ɐmeɪŋtʊ	amɛntʊm
anda	-	-	-	anda	-	amɪtɛm
ametsst	ametist	ametist	ametista	amatista	-	amɛtʰystam
amika	amikə	ami	amika	amiɣa	ɐmiɡɐ	amikam
amikal	amikal	amikal	amikale	amikal	-	amikalɛm
amitʃitsia	amitʃitsje	-	amitʃitsia	amiθiθja	ɐmisisjɐ	amikɪtɪam
ɐmitʊ	-	amikt	amitto	-	ɐmitʊ	amɪktʊm
aniɣol	-	amnikɔl	-	-	-	amnɛm
amare	-	ɛme	amare	amaɾ	ɐmaɹ	amarɛ
amenita	-	amenite	amenita	ameniðad	ɐmenidadɨ	amɔɪnɪtatɛm
amɛno	-	amɛn	amɛno	ameno	ɐmenʊ	amɔɪnʊm
amovibil	amovibil	amovibl	amovibile	amoβeɾ	ɐmuveɹ	amɔwerɛ
amfiβɾako	-	-	-	amfiβɾako	-	ampʰɪbrakʰyn
ɑblifiɣasjo	-	ɑ̃plifikasjɔ̃	-	amplifikaθjon	ɐ̃mplifikɐsɐ̃ʊ̃	amplɪfɪkatɪonɛm
ɐmblifikaɹ	amplifika	ɑ̃plifje	amplifikare	amplifikaɾ	ɐ̃mplifikaɹ	amplɪfɪkarɛ
ɑblidyd	-	ɑ̃plityd	-	-	ɐ̃mplidɐ̃ʊ̃	amplɪtudɪnɛm
amplu	amplu	ɑ̃pl	ampio	antʃo	ɐ̃ŋʃʊ	amplʊm
ampoʎa	-	ɑ̃pul	ampolla	ampoʎa	-	ampʊllam
morɣia	-	-	mɔrkia	amuɾka	ɐmuɾəkɐ	amʊrkam
miɡdala	miɡdala	amiɡdal	amiɡdala	-	ɐmiɡdɐlɐ	amyɡdalʊm
anakronizmo	-	-	anakronizmo	-	-	anakʰrɔnɪsmʊm
anale	anal	anal	anale	anal	ɐ̃nɑl	analɛm
analiziz	-	-	analizi	analisis	-	analysɛm
anarkia	-	anaʁʃi	anarkia	anaɾkia	ɐnɐɾəkiɐ	anarkʰɪam
anatra	-	-	anatra	anaðe	adeɪŋ	anatɛm
ɐŋzibiðɨ	-	-	-	-	ɐ̃ŋsipitɨ	aŋkɪpɪtɛm
anɛmon	-	anemɔn	anɛmone	-	-	anɛmonen
aneto	-	anɛt	aneto	aneto	ɐnetʊ	anetʰʊm
aŋɡeria	-	-	aŋɡeria	-	-	aŋɡarɪam
ɑʒelik	-	ɑ̃ʒelik	andʒɛliko	aŋxeliko	ɐ̃ŋʒɛlikʊ	aŋɡɛlɪkʊm
iŋɡleze	-	ɑ̃ɡlɛ	iŋɡleze	-	-	aŋɡlensɛm
aŋɡoɾ	-	-	-	aŋɡoɾ	-	aŋɡorɛm
aŋɡulaɾ	-	-	-	aŋɡulaɾ	ɐ̃ŋɡulaɹ	aŋɡʊlarɛm
aŋɡoxa	-	-	anɡɔʃa	aŋɡoxa	-	aŋɡʊstɪam
ɨŋɡda	ɨŋɡusta	-	-	aŋɡostaɾ	-	aŋɡʊstarɛ
aŋɡdo	ɨŋɡust	ɑ̃ɡi	aŋɡusto	aŋɡosto	ɐ̃ŋɡuʃtʊ	aŋɡʊstʊm
aljento	-	-	-	aljɛnto	ɐleɪŋtʊ	anhelɪtʊm
anela	-	anele	anelare	anelaɾ	-	anhelarɛ
animal	animal	animal	animale	animal	ɐnimɑl	anɪmal
animalkulo	-	-	-	animalkulo	-	anɪmalkʊlʊm
animozide	-	animozite	-	-	-	anɪmosʊm
animo	-	-	animo	animo	ɐnimuʃ	anɪmʊm
anis	-	anis	-	anis	-	anisʊm
anale	anale	anal	annali	anal	ɐ̃nɑl	annalɛm
aneɡza	aneɡza	anɛks	annɛsso	anexo	ɐnɛksʊ	annɛksʊm
ɐneʎʊ	-	-	-	aɲexo	ɐneʎʊ	annɪkʊlʊm
aniɣilatsione	-	anjilasjɔ̃	annikilatsione	anikilaθjon	ɐnikilɐsɐ̃ʊ̃	annɪhɪlatɪonɛm
aniɣilare	-	anjile	annikilare	anikilaɾ	ɐnikilaɹ	annɪhɪlarɛ
anɔn	-	anɔn	annona	anona	-	annonam
anonario	-	-	annonario	-	-	annonarɪʊm
anozita	-	-	annozita	-	-	annosɪtatɛm
ɐnozʊ	-	-	annozo	aɲoso	ɐnozʊ	annosʊm
anotatsione	-	anotasjɔ̃	annotatsione	anotaθjon	ɐnutɐsɐ̃ʊ̃	annɔtatɪonɛm
noaden	nɔaten	ɑ̃tnwa	annotino	-	ɐnutinʊ	annotɪnʊm
anuʎa	anula	anyle	annullare	anulaɾ	-	annullarɛ
noverare	-	-	noverare	-	-	annʊmɛrarɛ
anundʃare	-	anɔ̃se	annuntʃare	anunθjaɾ	ɐnũŋsiaɹ	annuntɪarɛ
anwo	-	-	annuo	anwo	ɐ̃nuʊ	annʊʊm
anoʤno	-	-	anodino	anoðino	ɐnɔdinʊ	anodynɔn
anɔmalo	-	-	anɔmalo	anomalo	ɐnɔmɐlʊ	anomalɔn
anormal	anormal	-	-	anoɾmal	ɐnuɾəmɑl	anormalʊm
ansa	-	ɑ̃s	ansa	asa	azɐ	ansam
ansaɾ	-	-	-	ansaɾ	-	ansɛrɛm
ɐŋzɨɾinʊ	-	-	-	-	ɐ̃ŋsɨɾinʊ	ansɛrinʊm
azola	-	-	azola	-	-	ansʊlam
anta	-	-	anta	-	ɐ̃ŋtɐ	antas
andedʃedere	-	ɑ̃tesede	antetʃedere	anteθeðeɾ	ɐ̃ŋtɨsɨdeɹ	antɛkedɛrɛ
andedʃessore	-	ɑ̃tesɛsœʁ	antetʃessore	anteθesoɾ	ɐ̃ŋtɨsɨsoɹ	antɛkɛssorɛm
andemurale	-	-	antemurale	-	-	antɛmuralɛ
antenato	-	-	antenato	-	-	antɛnatʊm
ɑden	antenə	ɑ̃tɛn	antenna	antena	ɐ̃ŋtenɐ	antɛnnam
ɑdeboze	-	ɑ̃tepoze	antepɔrre	anteponeɾ	ɐ̃ŋtɨpoɹ	antɛponɛrɛ
andeβeniɾ	-	-	-	anteβeniɾ	-	antɛwɛnirɛ
ɑʤzibe	-	ɑ̃tisipe	antitʃipare	antiθipaɾ	-	antɪkɪparɛ
anʤrrino	-	-	antirrino	-	-	antɪrrhinɔn
antiste	antiste	-	-	antistite	ɐ̃ŋtiʃtitɨ	antɪstɪtɛm
anʤdedo	-	-	antiteto	-	-	antɪtʰɛtɔn
andeɣo	-	-	anteko	-	-	antɔɪkʊm
antro	-	ɑ̃tʁ	antro	antɾo	-	antrʊm
anulare	-	anylɛʁ	anulare	anulaɾ	-	anʊlarɛm
ɐnuʃ	anus	anys	ano	ano	ɐ̃nuʃ	anʊm
ɐŋziɨdadɨ	-	-	-	-	ɐ̃ŋsiɨdadɨ	aŋksɪɛtatɛm
ansjaɾ	-	-	-	ansjaɾ	-	aŋksɪarɛ
aprire	-	uvʁiʁ	aprire	aβɾiɾ	ɐbɹiɹ	apɛrirɛ
abeɣz	-	apɛks	apitʃe	apiθe	apisɨ	apɪkɛm
abjario	-	apje	apjario	apjaɾjo	ɐpiaɾjʊ	apɪarɪʊm
abej	-	abɛj	pekkia	aβexa	ɐbeʎɐ	apɪkʊlam
appio	-	-	appio	apjo	aɪpʊ	apɪʊm
pula	-	-	pula	-	-	apludam
abokalibs	apokalips	apokalips	apokalisse	apokalipsis	ɐpukɐlipsɨ	apɔkalypsɛm
aboʤderio	-	-	apoditɛrio	-	-	apɔdyterɪʊm
abostola	-	apɔstola	-	-	-	apɔstɔlatʊm
abostolo	-	apotʁ	apɔstolo	apostol	ɐpɔʃtulʊ	apɔstɔlʊm
βoʤk	-	butik	botteɡa	botika	butikɐ	apɔtʰekam
abozem	-	apozɛm	-	-	-	apɔzzɛma
appaɾato	apaɾat	apaʁa	appaɾato	apaɾato	-	apparatʊm
apaɾent	apaɾent	apaʁɑ̃	apparɛnte	apaɾɛnte	ɐpɐɾeɪŋtɨ	apparɛntɛm
apəɾea	apəɾea	apaʁwaʁ	apparire	apaɾiɾ	ɐpɐɾaɹ	apparerɛ
ɐβɐɾɨzeɹ	-	-	-	apaɾeθeɾ	ɐpɐɾɨseɹ	appareskɛrɛ
abaʁizjo	-	apaʁisjɔ̃	-	apaɾiθjon	-	apparɪtɪonɛm
abaʁiðœʁ	-	apaʁitœʁ	-	-	-	apparɪtorɛm
abbaɾare	apəɾa	apaʁɛje	appaɾare	apaɾaɾ	ɐpɐɾaɹ	appararɛ
abeʎiðaɾ	-	-	-	apeʎiðaɾ	ɐpɨlidaɹ	appɛllɪtarɛ
abbeʎare	apela	aple	appellare	apelaɾ	ɐpɨlaɹ	appɛllarɛ
abɑðʁ	-	apɑ̃dʁ	appɛndere	apendeɾ	-	appɛndɛrɛ
appardenere	-	-	appartenɛre	-	-	appɛrtɪnerɛ
ɐβɨtssɐʊ	-	-	-	-	ɐpɨtisɐ̃ʊ̃	appɛtitɪonɛm
ablaʊso	-	-	applauzo	aplaʊso	ɐplaʊzʊ	applaʊsʊm
ɐpoɹ	apune	apoze	appɔrre	aponeɾ	ɐpoɹ	apponɛrɛ
apportare	-	apɔʁte	apportare	apoɾtaɾ	-	appɔrtarɛ
apposto	-	-	appɔsto	apwesto	ɐpoʃtʊ	appɔsɪtʊm
apprendere	-	-	apprɛndere	-	-	apprɛhɛndɛrɛ
abɾeenzjon	-	apʁeɑ̃sjɔ̃	apprensione	apɾeensjon	ɐpɹieɪŋsɐ̃ʊ̃	apprɛhɛnsɪonɛm
abʁobazjo	-	apʁobasjɔ̃	approvatsione	apɾoβaθjon	ɐpɹuvɐsɐ̃ʊ̃	apprɔbatɪonɛm
abrobia	apropia	apʁoʃe	approtʃʃare	-	-	apprɔpɪarɛ
ɐβɹuβɹiɐzɐʊ	-	apʁɔpʁiasjɔ̃	appropriatsione	-	ɐpɹupɹiɐsɐ̃ʊ̃	apprɔprɪatɪonɛm
abʁoɣzime	-	apʁoksime	-	-	-	apprɔksɪmarɛ
abʁi	apriɡ	abʁi	apriko	aβɾiɣo	ɐpɹikʊ	aprikʊm
ataɾ	-	-	-	ataɾ	ɐtaɹ	aptarɛ
apa	apa	o	akkwa	aɣwa	aɡwɐ	akwam
aɣɣwatssone	-	-	akkwatssone	-	-	akwatɪonɛm
aɣwaðoɾ	-	-	-	aɣwaðoɾ	-	akwatorɛm
akwifoʎo	-	-	akwifoʎo	-	ɐzɨviɲʊ	akwɪfɔlɪʊm
aɣili	-	akilɛ̃	akwilino	akilino	ɐkilinʊ	akwɪlinʊm
aʁabl	aɾabil	aʁabl	aɾabile	aɾaβle	ɐɾavɛl	arabɪlɛm
ryje	ryje	aʁɛɲe	aɾaɲɲa	aɾaɲa	ɐɾɐ̃ɲɐ	aranɛam
raɲɲo	-	-	raɲɲo	raɲo	-	aranɛʊm
aɾatro	aɾat	aʁɛʁ	aɾatro	aɾaðo	ɐɾadʊ	aratrʊm
arbitrio	-	aʁbitʁ	arbitrio	aɾβitɾio	ɐɾəbitrjʊ	arbɪtrɪʊm
aʁβidʁe	-	aʁbitʁe	-	aɾβitɾaɾ	-	arbɪtrari
ɐɾəβuɾɨzeɹ	-	-	-	-	ɐɾəbuɾɨseɹ	arbɔreskɛrɛ
arboret	arboɾet	-	arboreto	aɾβoleðo	ɐɾəvuɾedʊ	arbɔretʊm
arboreo	-	-	arbɔreo	aɾβoɾeo	ɐɾəbɔɾiʊ	arbɔrɛʊm
ɐɾəβuʃʤvʊ	-	aʁbystif	arbustivo	-	ɐɾəbuʃtivʊ	arbʊstiwʊm
aʁbuz	-	aʁbuz	-	-	eɾəvɨdʊ	arbʊtʊm
aʁʃ	arka	aʁʃ	arka	aɾka	aɾəkɐ	arkam
ɐɾəɣɐnʊ	-	aʁkan	arkano	aɾkano	ɐɾəkɐ̃nʊ	arkanʊm
arkano	-	-	arkano	aɾkano	ɐɾəkɐ̃nʊ	arkanʊm
aʁɣɑʒ	arhaŋɡel	aʁkɑ̃ʒ	arkandʒelo	aɾkaŋxel	ɐɾəkɐ̃ŋʒʊ	arkʰaŋɡɛlʊm
arɣeʤbo	-	aʁketip	arkɛtipo	aɾketipo	ɐɾəkɛtipʊ	arkʰɛtypʊm
aʁʃveɣ	-	aʁʃvɛk	artʃiveskovo	aɾθoβispo	ɐɾəsɨbiʃpʊ	arkʰɪɛpɪskɔpʊm
arkar	arkar	aʁʃe	artʃɛre	aɾkeɾo	ɐɾəkeɪɾʊ	arkʊarɪʊm
arduo	-	aʁdy	arduo	aɾdwo	aɾəduʊ	ardʊʊm
ɐɾiɑl	-	-	areale	-	ɐɾiɑl	arɛalɛm
ɐɾəfaɹ	-	-	-	-	ɐɾəfaɹ	arɛfakɛrɛ
aɾinos	aɾinos	-	renozo	aɾenoso	ɐɾɨnozʊ	arenosʊm
areopadʒita	-	-	areopadʒita	-	-	areɔpaɡiten
aɾxentoso	ardʒintos	-	-	aɾxentoso	ɐɾəʒeɪŋtozʊ	arɡɛntosʊm
ɐɾəʒeɪŋdʊ	ardʒint	aʁʒɑ̃	ardʒɛnto	aɾxɛnto	ɐɾəʒeɪŋtʊ	arɡɛntʊm
aʁʒil	-	aʁʒil	ardʒilla	aɾxila	ɐɾəʒilɐ	arɡɪllam
aɾɣentoso	-	-	-	aɾɣumentoso	-	arɡumɛntosʊm
aʁɡe	-	aʁɡe	-	aɾɣuiɾ	ɐɾəɡwiɹ	arɡwɛrɛ
arɡutsje	arɡutsje	aʁɡyti	arɡutsia	aɾɣuθja	ɐɾəɡusjɐ	arɡutɪam
aɾede	aɾete	-	ariɛte	aɾjete	ɐɾiɨtɨ	arɪɛtɛm
aɾjetaɾ	-	-	-	aɾjetaɾ	-	arɪɛtarɛ
armɨnt	armɨnt	-	armamento	-	-	armamɛntʊm
armaʤo	armar	-	armadio	aɾmaɾjo	-	armarɪʊm
aɾmaθon	-	-	-	aɾmaθon	-	armatɪonɛm
aʁme	armat	aʁme	armato	aɾmaðo	ɐɾəmadʊ	armatʊm
armento	-	-	armento	-	ɐɾəmeɪŋtʊ	armɛntʊm
aɾmixeɾo	-	-	-	aɾmixeɾo	ɐɾəmiʒɨɾʊ	armɪɡɛrʊm
ɐɾəmilɐ	-	-	-	aɾmila	ɐɾəmilɐ	armɪllam
armibodende	-	-	armipotɛnte	-	-	armɪpɔtɛntɛm
armizonande	-	-	armizonante	-	-	armɪsɔnʊm
arma	arma	aʁme	armare	aɾmaɾ	ɐɾəmaɹ	armarɛ
arm	arm	aʁ	-	aɾmos	-	armʊm
aromatik	-	aʁomatik	aromatiko	-	-	aromatɪkʊm
arbinade	-	-	arpinate	-	-	arpinatɛm
arra	-	aʁ	arra	aras	aʁɐʃ	arrham
aredʃaɾ	-	-	-	aretʃaɾ	-	arrɪɡɛrɛ
arroɡare	-	aʁoʒe	arroɡare	aroɣaɾ	ɐʁuɡaɹ	arrɔɡarɛ
arsione	-	-	arsione	-	-	arsɪo
aʁmwaz	-	aʁmwaz	artemizia	aɾtemisja	-	artɛmɪsɪam
aʁtsɣylasjo	-	aʁtikylasjɔ̃	-	-	-	artɪkʊlatɪonɛm
aɾʤɣulaɾ	-	-	-	aɾtikulaɾ	-	artɪkʊlarɛ
as	-	as	-	as	aʃ	assɛm
azɐɾʊ	-	-	azaro	asaɾo	azɐɾʊ	asarʊm
esel	-	ɛsɛl	aʃɛlla	-	-	askɛllam
aʃendere	-	asɑ̃dʁ	aʃɛndere	asθendeɾ	ɐseɪŋdeɹ	askɛndɛrɛ
aʃensione	-	asɑ̃sjɔ̃	aʃensione	asθensjon	ɐseɪŋsɐ̃ʊ̃	askensɪonɛm
azɑzœʁ	-	asɑ̃sœʁ	-	-	-	askensorɛm
aʃa	-	-	aʃa	-	aɾəʃɐ	askɪam
aðskɾiβiɾ	-	-	askrivere	aðskɾiβiɾ	-	askribɛrɛ
azeita	-	-	azeita	-	ɐseɪdadɨ	aseɪtatɛm
azjatiɣ	-	azjatik	-	-	-	asɪatɪkʊm
assiʎo	-	-	assillo	-	-	asilʊm
aspeʁʒ	-	aspɛʁʒ	aspaɾaɡo	esparaɣo	ʃpaɾəɡʊ	asparaɡʊm
aspettare	aʃtepta	aspɛkte	aspettare	-	-	aspɛktarɛ
aspetto	-	aspɛkt	aspɛtto	aspekto	ɐʃpɛtʊ	aspɛktʊm
aspeʁʒe	-	aspɛʁʒe	aspɛrdʒine	aspeɾxeɾ	ɐʃpɨɾəʒeɹ	aspɛrɡɛrɛ
aspeʁide	-	aspeʁite	-	-	-	aspɛrɪtatɛm
aspresione	-	aspɛʁsjɔ̃	aspersione	aspeɾsjon	ɐʃpɨɾəsɐ̃ʊ̃	aspɛrsɪonɛm
aspiratsione	aspiɾatsje	aspiʁasjɔ̃	aspiratsione	aspiɾaθjon	ɐʃpiɾɐsɐ̃ʊ̃	aspiratɪonɛm
asportatsione	-	-	asportatsione	-	-	aspɔrtatɪonɛm
aspoɾtaɾ	-	-	asportare	aspoɾtaɾ	-	aspɔrtarɛ
aseðʃaɾ	-	-	-	asetʃaɾ	ɐseɪtaɹ	assɛktari
asserire	-	-	asserire	-	ɐsɨɾiɹ	assɛrɛrɛ
azeʁzjo	-	asɛʁsjɔ̃	-	aseɾθjon	-	assɛrtɪonɛm
